question,type,value,notes
1,str,'55025',
2,dict,"{'48': 254, '13': 159, '51': 133, '21': 120, '29': 115}",
3,dict,"{'q1': 4.76837158203125e-05, 'q2': 4.76837158203125e-05}",
4,list,['p7'],
5,dict,"{'Milwaukee': 46570,
 'Dane': 38557,
 'Waukesha': 34159,
 'Brown': 15615,
 'Racine': 13007,
 'Outagamie': 11523,
 'Kenosha': 10744,
 'Washington': 10726,
 'Rock': 9834,
 'Winnebago': 9310}",
6,int,4,
7,dict,"{'Adams': 1,
 'La Crosse': 1,
 'Columbia': 1,
 'Walworth': 1,
 'Dane': 11,
 'Kewaunee': 1,
 'Barron': 1,
 'Brown': 2,
 'Green Lake': 1,
 'Bayfield': 2,
 'Door': 3,
 'Jefferson': 1}",
8,float,0.2916541228801953,
9,float,0.805777303717674,
10,NoneType,None,
